timestamp_utc,symbol,qty,market_value,side
2026-05-28T21:34:26+00:00,SRE,-108.0,-9723.24,short
2026-05-28T21:34:26+00:00,STT,-66.0,-10402.26,short
2026-05-28T21:34:26+00:00,STX,-10.0,-8846.4,short
2026-05-28T21:34:26+00:00,SYF,-144.0,-10291.68,short
2026-05-28T21:34:26+00:00,SYY,345.0,26192.4,long
2026-05-28T21:34:26+00:00,TMUS,113.0,21300.5,long
2026-05-28T21:34:26+00:00,TTD,972.0,20625.0624,long
2026-05-28T21:34:26+00:00,UAL,-98.0,-11273.92,short
2026-05-28T21:34:26+00:00,URI,-10.0,-9884.2,short
2026-05-28T21:34:26+00:00,VTRS,-628.0,-10073.12,short
2026-05-28T21:34:26+00:00,WBD,-368.0,-9950.72,short
2026-05-28T21:34:26+00:00,WDAY,177.0,23098.5,long
2026-05-28T21:34:26+00:00,WFC,297.0,22765.05,long
2026-05-28T21:34:26+00:00,WM,111.0,23809.5,long
2026-05-28T21:34:26+00:00,XEL,-122.0,-9639.22,short
2026-05-28T21:34:26+00:00,XOM,175.0,25639.25,long
2026-05-28T21:34:26+00:00,XYZ,-146.0,-10888.68,short
2026-05-28T21:34:26+00:00,ZTS,-128.0,-10030.08,short
