timestamp_utc,symbol,weight,base_score,sentiment_raw,sentiment_z,sentiment_rows,combined_score
2026-05-29T21:24:57+00:00,GIS,0.02600000000000001,0.5993881517902336,0.0,0.0,0,0.5993881517902336
2026-05-29T21:24:57+00:00,DG,0.02600000000000001,0.8004438276411788,0.0,0.0,0,0.8004438276411788
2026-05-29T21:24:57+00:00,SYY,0.02600000000000001,1.1036211162320242,0.0,0.0,0,1.1036211162320242
2026-05-29T21:24:57+00:00,KMB,0.02600000000000001,0.5979344099322165,0.0,0.0,0,0.5979344099322165
2026-05-29T21:24:57+00:00,APA,0.026000000000000006,4.0,0.2727272727272727,0.0,11,4.0
2026-05-29T21:24:57+00:00,DVN,0.026000000000000006,1.8185121877007047,0.27777777777777773,0.04608819806286875,12,1.8346430570227088
2026-05-29T21:24:57+00:00,OXY,0.026000000000000006,2.5562839526326178,0.32,0.4313855338684537,25,2.7072688894865764
2026-05-29T21:24:57+00:00,ITW,0.02414285714285715,1.1135962012880667,0.0,0.0,0,1.1135962012880667
2026-05-29T21:24:57+00:00,PH,0.02414285714285715,0.29238136972362594,0.0,0.0,0,0.29238136972362594
2026-05-29T21:24:57+00:00,PAYX,0.02414285714285715,0.4420259330373614,0.0,0.0,0,0.4420259330373614
2026-05-29T21:24:57+00:00,URI,0.02414285714285715,0.9122986639773367,0.0,0.0,0,0.9122986639773367
2026-05-29T21:24:57+00:00,NOC,0.02414285714285715,0.8562609361084508,0.0,0.0,0,0.8562609361084508
2026-05-29T21:24:57+00:00,WM,0.02414285714285715,0.40735511454061146,0.0,0.0,0,0.40735511454061146
2026-05-29T21:24:57+00:00,VRSK,0.02414285714285715,0.35947451154608884,0.0,0.0,0,0.35947451154608884
2026-05-29T21:24:57+00:00,BX,0.02262962962962964,1.45350275399791,0.0,0.0,0,1.45350275399791
2026-05-29T21:24:57+00:00,AIG,0.02262962962962964,0.5264495682055976,0.0,0.0,0,0.5264495682055976
2026-05-29T21:24:57+00:00,AMP,0.02262962962962964,0.5882483190342536,0.0,0.0,0,0.5882483190342536
2026-05-29T21:24:57+00:00,FISV,0.02262962962962964,2.2933429486652543,0.36363636363636365,0.8295875651316416,11,2.583698596461329
2026-05-29T21:24:57+00:00,GPN,0.02262962962962964,0.699809585240455,0.0,0.0,0,0.699809585240455
2026-05-29T21:24:57+00:00,SPGI,0.02262962962962964,0.5674145192411383,0.0,0.0,0,0.5674145192411383
2026-05-29T21:24:57+00:00,WTW,0.02262962962962964,1.3508397545500344,0.0,0.0,0,1.3508397545500344
2026-05-29T21:24:57+00:00,WFC,0.02262962962962964,0.6668346651752829,0.0,0.0,0,0.6668346651752829
2026-05-29T21:24:57+00:00,PYPL,0.02262962962962964,0.8501657706900448,0.0,0.0,0,0.8501657706900448
2026-05-29T21:24:57+00:00,ISRG,0.022208333333333337,1.3992885368148045,0.0,0.0,0,1.3992885368148045
2026-05-29T21:24:57+00:00,BAX,0.022208333333333337,2.8522486217855487,-0.4,-4.0,5,1.4522486217855488
2026-05-29T21:24:57+00:00,BDX,0.022208333333333337,1.3759828486995866,0.0,0.0,0,1.3759828486995866
2026-05-29T21:24:57+00:00,BSX,0.022208333333333337,4.0,0.08148148148148149,-1.745206433313971,45,3.38917774834011
