timestamp_utc,account_status,portfolio_value,equity,cash,long_value,short_value,buying_power,n_positions
2026-05-28T21:03:01+00:00,dry_run,100000.0,100000.0,100000.0,0.0,0.0,200000.0,0
2026-05-28T21:11:55+00:00,AccountStatus.ACTIVE,996883.23,996883.23,202694.8,1382630.09,-588441.66,0.0,114
2026-05-28T21:34:26+00:00,AccountStatus.ACTIVE,994982.61,994982.61,202694.8,1382131.05,-589843.25,0.0,114
2026-05-29T20:07:43+00:00,AccountStatus.ACTIVE,1001994.77,1001994.77,173952.62,887794.78,-59752.63,1056442.13,55
2026-05-29T21:24:57+00:00,AccountStatus.ACTIVE,1002404.09,1002404.09,173952.62,888285.64,-59834.17,1056688.38,55
