timestamp_utc,symbol,side,qty,notional,price,current_qty,target_qty
2026-05-28T21:03:01+00:00,NOC,buy,4,2237.159912109375,559.2899780273438,0,4
2026-05-28T21:03:01+00:00,MRSH,buy,14,2233.4199829101562,159.52999877929688,0,14
2026-05-28T21:03:01+00:00,FISV,buy,40,2233.2000732421875,55.83000183105469,0,40
2026-05-28T21:03:01+00:00,PYPL,buy,50,2222.999954223633,44.459999084472656,0,50
2026-05-28T21:03:01+00:00,BAX,buy,115,2213.75,19.25,0,115
2026-05-28T21:03:01+00:00,WDAY,buy,17,2210.169906616211,130.00999450683594,0,17
2026-05-28T21:03:01+00:00,BSX,buy,45,2209.9500274658203,49.11000061035156,0,45
2026-05-28T21:03:01+00:00,CTSH,buy,41,2207.849937438965,53.849998474121094,0,41
2026-05-28T21:03:01+00:00,BX,buy,19,2206.6599884033203,116.13999938964844,0,19
2026-05-28T21:03:01+00:00,AMP,buy,5,2199.250030517578,439.8500061035156,0,5
2026-05-28T21:03:01+00:00,MDT,buy,29,2191.5299911499023,75.56999969482422,0,29
2026-05-28T21:03:01+00:00,INTU,buy,7,2191.0,313.0,0,7
2026-05-28T21:03:01+00:00,CNC,buy,37,2179.669994354248,58.90999984741211,0,37
2026-05-28T21:03:01+00:00,NOW,buy,20,2174.600067138672,108.7300033569336,0,20
2026-05-28T21:03:01+00:00,DHR,buy,12,2167.56005859375,180.6300048828125,0,12
2026-05-28T21:03:01+00:00,PSKY,buy,200,2162.00008392334,10.8100004196167,0,200
2026-05-28T21:03:01+00:00,HUM,buy,7,2160.9000854492188,308.70001220703125,0,7
2026-05-28T21:03:01+00:00,TTD,buy,102,2157.299961090088,21.149999618530273,0,102
2026-05-28T21:03:01+00:00,NCLH,buy,118,2157.04008102417,18.280000686645508,0,118
2026-05-28T21:03:01+00:00,DE,buy,4,2156.0,539.0,0,4
2026-05-28T21:03:01+00:00,LEN,buy,24,2154.0,89.75,0,24
2026-05-28T21:03:01+00:00,MGM,buy,50,2146.500015258789,42.93000030517578,0,50
2026-05-28T21:03:01+00:00,SHW,buy,7,2135.9801025390625,305.1400146484375,0,7
2026-05-28T21:03:01+00:00,AVGO,buy,5,2132.899932861328,426.5799865722656,0,5
2026-05-28T21:03:01+00:00,ED,buy,20,2126.0000610351562,106.30000305175781,0,20
2026-05-28T21:03:01+00:00,LYB,buy,31,2118.849952697754,68.3499984741211,0,31
2026-05-28T21:03:01+00:00,ISRG,buy,5,2118.1500244140625,423.6300048828125,0,5
2026-05-28T21:03:01+00:00,CRM,buy,12,2114.0399780273438,176.1699981689453,0,12
2026-05-28T21:03:01+00:00,LULU,buy,16,2101.280029296875,131.3300018310547,0,16
2026-05-28T21:03:01+00:00,CF,buy,18,2097.0,116.5,0,18
2026-05-28T21:03:01+00:00,CCI,buy,23,2095.0699157714844,91.08999633789062,0,23
2026-05-28T21:03:01+00:00,NEE,buy,24,2094.0,87.25,0,24
2026-05-28T21:03:01+00:00,BBY,buy,28,2092.719940185547,74.73999786376953,0,28
2026-05-28T21:03:01+00:00,SPGI,buy,5,2088.3999633789062,417.67999267578125,0,5
2026-05-28T21:03:01+00:00,BDX,buy,14,2077.7400512695312,148.41000366210938,0,14
2026-05-28T21:03:01+00:00,PANW,buy,8,2062.159912109375,257.7699890136719,0,8
2026-05-28T21:03:01+00:00,SBAC,buy,10,2046.199951171875,204.6199951171875,0,10
2026-05-28T21:03:01+00:00,ORCL,buy,10,2036.9999694824219,203.6999969482422,0,10
2026-05-28T21:03:01+00:00,WTW,buy,8,2016.0799560546875,252.00999450683594,0,8
2026-05-28T21:03:01+00:00,EA,buy,10,2011.4999389648438,201.14999389648438,0,10
2026-05-28T21:03:01+00:00,MA,buy,4,1975.0,493.75,0,4
2026-05-28T21:03:01+00:00,LOW,buy,9,1961.2799835205078,217.9199981689453,0,9
2026-05-28T21:03:01+00:00,ROP,buy,6,1918.5,319.75,0,6
2026-05-28T21:03:01+00:00,TDG,buy,1,1265.06005859375,1265.06005859375,0,1
